#name undefined
#comment terafly_annotations
#n type x y z radius parent seg_id level mode timestamp TFresindex
58636 2 12768.667 19584.445 4138.643 1.000 58637 0 8680820738548039680 0 0 0
58633 2 12763.777 19594.445 4141.754 1.000 58634 0 8680820738548039680 0 0 0
58635 2 12766.667 19586.889 4140.198 1.000 58636 0 8680820738548039680 0 0 0
58634 2 12765.333 19591.334 4140.420 1.000 58635 0 8680820738548039680 0 0 0
58632 2 12760.223 19598.000 4142.643 1.000 58633 0 8680820738548039680 0 0 0
58628 2 12754.667 19610.445 4146.643 1.000 58629 0 8680820738548039680 0 0 0
58631 2 12760.000 19602.223 4144.199 1.000 58632 0 8680820738548039680 0 0 0
58630 2 12759.333 19605.111 4144.643 1.000 58631 0 8680820738548039680 0 0 0
58629 2 12757.333 19607.555 4146.199 1.000 58630 0 8680820738548039680 0 0 0
58624 2 12745.556 19619.334 4150.644 1.000 58625 0 8680820738548039680 0 0 0
58623 2 12744.223 19620.889 4151.755 1.000 58624 0 8680820738548039680 0 0 0
58627 2 12751.556 19613.555 4148.421 1.000 58628 0 8680820738548039680 0 0 0
58625 2 12749.111 19617.777 4149.755 1.000 58626 0 8680820738548039680 0 0 0
58626 2 12749.777 19617.111 4149.088 1.000 58627 0 8680820738548039680 0 0 0
58622 2 12743.333 19623.334 4152.422 1.000 58623 0 8680820738548039680 0 0 0
58670 2 12880.667 19464.666 4116.418 1.000 58671 0 8680820738548039680 0 0 0
58673 2 12889.556 19457.334 4114.640 1.000 58674 0 8680820738548039680 0 0 0
58674 2 12890.444 19456.445 4114.418 1.000 58675 0 8680820738548039680 0 0 0
58672 2 12886.444 19458.666 4116.196 1.000 58673 0 8680820738548039680 0 0 0
58671 2 12884.444 19460.445 4116.418 1.000 58672 0 8680820738548039680 0 0 0
58678 2 12898.444 19444.445 4112.417 1.000 58679 0 8680820738548039680 0 0 0
58677 2 12896.223 19448.000 4112.640 1.000 58678 0 8680820738548039680 0 0 0
58675 2 12893.556 19451.555 4114.418 1.000 58676 0 8680820738548039680 0 0 0
58676 2 12895.333 19450.000 4113.751 1.000 58677 0 8680820738548039680 0 0 0
58669 2 12877.556 19469.555 4116.418 1.000 58670 0 8680820738548039680 0 0 0
58664 2 12864.000 19490.000 4120.418 1.000 58665 0 8680820738548039680 0 0 0
58666 2 12869.556 19481.555 4118.418 1.000 58667 0 8680820738548039680 0 0 0
58667 2 12871.333 19479.334 4118.418 1.000 58668 0 8680820738548039680 0 0 0
58665 2 12866.667 19484.889 4120.196 1.000 58666 0 8680820738548039680 0 0 0
58661 2 12856.444 19498.445 4122.418 1.000 58662 0 8680820738548039680 0 0 0
58660 2 12848.667 19506.666 4122.418 1.000 58661 0 8680820738548039680 0 0 0
58659 2 12843.333 19517.334 4122.418 1.000 58660 0 8680820738548039680 0 0 0
58663 2 12858.667 19494.445 4120.641 1.000 58664 0 8680820738548039680 0 0 0
58662 2 12857.333 19497.555 4122.196 1.000 58663 0 8680820738548039680 0 0 0
58668 2 12874.667 19472.889 4118.196 1.000 58669 0 8680820738548039680 0 0 0
58640 2 12785.556 19571.334 4134.642 1.000 58641 0 8680820738548039680 0 0 0
58641 2 12787.556 19569.555 4134.420 1.000 58642 0 8680820738548039680 0 0 0
58647 2 12805.333 19551.334 4130.419 1.000 58648 0 8680820738548039680 0 0 0
58646 2 12804.000 19553.334 4131.086 1.000 58647 0 8680820738548039680 0 0 0
58645 2 12801.556 19555.555 4132.419 1.000 58646 0 8680820738548039680 0 0 0
58643 2 12792.667 19562.000 4133.086 1.000 58644 0 8680820738548039680 0 0 0
58642 2 12791.333 19565.334 4134.420 1.000 58643 0 8680820738548039680 0 0 0
58644 2 12794.444 19560.445 4132.419 1.000 58645 0 8680820738548039680 0 0 0
58654 2 12831.556 19531.555 4126.419 1.000 58655 0 8680820738548039680 0 0 0
58657 2 12838.889 19522.889 4124.419 1.000 58658 0 8680820738548039680 0 0 0
58656 2 12835.556 19527.555 4124.419 1.000 58657 0 8680820738548039680 0 0 0
58655 2 12834.000 19529.334 4125.085 1.000 58656 0 8680820738548039680 0 0 0
58653 2 12824.444 19538.445 4126.419 1.000 58654 0 8680820738548039680 0 0 0
58649 2 12810.667 19544.666 4130.419 1.000 58650 0 8680820738548039680 0 0 0
58650 2 12816.223 19544.000 4128.642 1.000 58651 0 8680820738548039680 0 0 0
58651 2 12819.333 19543.334 4128.419 1.000 58652 0 8680820738548039680 0 0 0
58652 2 12821.333 19541.555 4128.197 1.000 58653 0 8680820738548039680 0 0 0
58648 2 12806.667 19548.666 4130.419 1.000 58649 0 8680820738548039680 0 0 0
58638 2 12777.556 19577.334 4136.642 1.000 58639 0 8680820738548039680 0 0 0
58639 2 12783.111 19573.334 4136.198 1.000 58640 0 8680820738548039680 0 0 0
58637 2 12774.444 19578.666 4138.198 1.000 58638 0 8680820738548039680 0 0 0
58658 2 12841.111 19521.334 4124.197 1.000 58659 0 8680820738548039680 0 0 0
58620 2 12737.556 19629.555 4154.422 1.000 58621 0 8680820738548039680 0 0 0
58621 2 12740.667 19626.445 4152.644 1.000 58622 0 8680820738548039680 0 0 0
50434 2 12634.889 19696.666 4188.647 1.000 50435 0 8680820738548039680 0 0 0
50432 2 12630.444 19700.445 4190.426 1.000 50433 0 8680820738548039680 0 0 0
50433 2 12632.444 19698.666 4190.204 1.000 50434 0 8680820738548039680 0 0 0
50430 2 12625.333 19709.334 4192.426 1.000 50431 0 8680820738548039680 0 0 0
50431 2 12627.333 19705.111 4190.648 1.000 50432 0 8680820738548039680 0 0 0
50429 2 12622.444 19712.445 4192.426 1.000 50430 0 8680820738548039680 0 0 0
50428 2 12619.333 19715.555 4194.204 1.000 50429 0 8680820738548039680 0 0 0
50426 2 12613.777 19722.000 4196.204 1.000 50427 0 8680820738548039680 0 0 0
50424 2 12608.889 19728.666 4196.648 1.000 50425 0 8680820738548039680 0 0 0
50425 2 12612.000 19726.000 4196.426 1.000 50426 0 8680820738548039680 0 0 0
